,count_bindings_in_miRNA,pair_state_No,mFE,hairpin_count,stem_length,distanceToloop,percentage_PairedInMiRNA,pair_state_Yes,binding_count,armType_loop,interiorLoopCount,index,clusterName,chrom,start,end,miRNA,sample,annotation
4192,9,1,-40.4,2,28,4,0.69,0,28,0,6,4192,mapped_nonMirna_ERR973611:miRCluster_15686_18:chr15:76346702_76346719+,15,76346702,76346719,False,ERR973611,
4193,12,1,-26.8,1,32,11,0.75,0,32,0,6,4193,mapped_nonMirna_ERR973611:miRCluster_15708_23:chr15:82755945_82755967+,15,82755945,82755967,False,ERR973611,
4194,16,0,-23.2,2,20,1,0.8,1,20,0,1,4194,mapped_nonMirna_ERR973611:miRCluster_15709_27:chr15:82756007_82756033+,15,82756007,82756033,False,ERR973611,
4195,7,1,-7.5,1,15,8,0.78,0,15,0,3,4195,mapped_nonMirna_ERR973611:miRCluster_15777_16:chr15:95906228_95906243+,15,95906228,95906243,False,ERR973611,
4196,9,1,-41.5,4,35,-3,0.6,0,35,0,4,4196,mapped_nonMirna_ERR973611:miRCluster_15780_22:chr15:98649082_98649103+,15,98649082,98649103,False,ERR973611,
4197,13,1,-66.1,1,32,14,1.0,0,32,0,6,4197,mapped_nonMirna_ERR973611:miRCluster_16719_20:chr16:694217_694236-,16,694217,694236,False,ERR973611,
4198,11,1,-40.4,1,23,5,0.85,0,23,0,4,4198,mapped_nonMirna_ERR973611:miRCluster_16766_25:chr16:2243175_2243199-,16,2243175,2243199,False,ERR973611,
4199,7,1,-11.1,1,14,10,0.54,0,14,0,5,4199,mapped_nonMirna_ERR973611:miRCluster_16275_21:chr16:2514029_2514049+,16,2514029,2514049,False,ERR973611,
4200,7,1,-28.8,3,27,-29,0.39,0,27,0,2,4200,mapped_nonMirna_ERR973611:miRCluster_16770_24:chr16:2796408_2796431-,16,2796408,2796431,False,ERR973611,
4201,9,1,-6.5,1,11,-4,0.6,0,11,0,2,4201,mapped_nonMirna_ERR973611:miRCluster_16803_18:chr16:10430365_10430382-,16,10430365,10430382,False,ERR973611,
4202,9,1,-14.1,1,9,-2,0.64,0,9,0,1,4202,mapped_nonMirna_ERR973611:miRCluster_16466_18:chr16:29806252_29806269+,16,29806252,29806269,False,ERR973611,
4203,6,1,-11.5,1,6,-4,0.35,0,6,0,0,4203,mapped_nonMirna_ERR973611:miRCluster_16897_18:chr16:29812488_29812505-,16,29812488,29812505,False,ERR973611,
4204,9,1,-24.6,1,20,-1,0.64,0,20,0,4,4204,mapped_nonMirna_ERR973611:miRCluster_16919_25:chr16:30524895_30524919-,16,30524895,30524919,False,ERR973611,
4205,12,1,-30.1,3,32,-4,0.63,0,32,0,3,4205,mapped_nonMirna_ERR973611:miRCluster_16513_22:chr16:34163018_34163039+,16,34163018,34163039,False,ERR973611,
4206,9,1,-33.1,2,26,-2,0.6,0,26,0,3,4206,mapped_nonMirna_ERR973611:miRCluster_16941_17:chr16:35169487_35169503-,16,35169487,35169503,False,ERR973611,
4207,7,1,-19.0,1,26,29,0.78,0,26,0,6,4207,mapped_nonMirna_ERR973611:miRCluster_16521_16:chr16:50098340_50098355+,16,50098340,50098355,False,ERR973611,
4208,11,1,-28.9,3,32,-6,0.73,0,32,1,4,4208,mapped_nonMirna_ERR973611:miRCluster_17026_25:chr16:70252302_70252326-,16,70252302,70252326,False,ERR973611,
4209,12,1,-28.2,1,21,7,0.8,0,21,0,4,4209,mapped_nonMirna_ERR973611:miRCluster_16660_25:chr16:85661612_85661636+,16,85661612,85661636,False,ERR973611,
4210,9,1,-23.7,3,25,-2,0.6,0,25,0,3,4210,mapped_nonMirna_ERR973611:miRCluster_16672_17:chr16:88006249_88006265+,16,88006249,88006265,False,ERR973611,
4211,7,1,-20.9,2,14,-4,0.47,0,14,0,2,4211,mapped_nonMirna_ERR973611:miRCluster_17134_20:chr16:89283670_89283689-,16,89283670,89283689,False,ERR973611,
4212,10,1,-14.5,1,12,-7,0.67,0,12,1,2,4212,mapped_nonMirna_ERR973611:miRCluster_16701_17:chr16:89978328_89978344+,16,89978328,89978344,False,ERR973611,
4213,9,1,-23.6,1,27,13,0.69,0,27,0,8,4213,mapped_nonMirna_ERR973611:miRCluster_17843_23:chr17:1507060_1507082-,17,1507060,1507082,False,ERR973611,
4214,11,1,-33.4,1,22,2,0.85,0,22,0,4,4214,mapped_nonMirna_ERR973611:miRCluster_17846_25:chr17:1516552_1516576-,17,1516552,1516576,False,ERR973611,
4215,12,1,-11.4,2,17,-19,0.86,0,17,0,1,4215,mapped_nonMirna_ERR973611:miRCluster_17889_25:chr17:2329182_2329206-,17,2329182,2329206,False,ERR973611,
4216,8,0,-55.9,1,34,22,0.73,1,34,0,6,4216,mapped_nonMirna_ERR973611:miRCluster_17159_26:chr17:2372277_2372302+,17,2372277,2372302,False,ERR973611,
4217,12,1,-63.8,1,33,11,0.92,0,33,0,6,4217,mapped_nonMirna_ERR973611:miRCluster_17176_18:chr17:4499019_4499036+,17,4499019,4499036,False,ERR973611,
4218,7,1,-25.5,1,18,1,0.44,0,18,0,3,4218,mapped_nonMirna_ERR973611:miRCluster_17913_17:chr17:4808138_4808154-,17,4808138,4808154,False,ERR973611,
4219,14,1,-20.6,1,18,0,0.88,0,18,0,4,4219,mapped_nonMirna_ERR973611:miRCluster_17230_21:chr17:7654162_7654182+,17,7654162,7654182,False,ERR973611,
4220,10,1,-8.8,1,9,-13,0.67,0,9,1,2,4220,mapped_nonMirna_ERR973611:miRCluster_17242_20:chr17:7688449_7688468+,17,7688449,7688468,False,ERR973611,
4221,11,1,-44.6,1,31,10,0.69,0,31,0,7,4221,mapped_nonMirna_ERR973611:miRCluster_18009_23:chr17:8162798_8162820-,17,8162798,8162820,False,ERR973611,
4222,9,1,-14.2,2,16,-5,0.6,0,16,1,0,4222,mapped_nonMirna_ERR973611:miRCluster_18023_16:chr17:8841127_8841142-,17,8841127,8841142,False,ERR973611,
4223,8,1,-39.3,1,36,18,0.44,0,36,0,5,4223,mapped_nonMirna_ERR973611:miRCluster_17281_25:chr17:16440036_16440060+,17,16440036,16440060,False,ERR973611,
4224,9,1,-36.2,2,28,-3,0.6,0,28,0,4,4224,mapped_nonMirna_ERR973611:miRCluster_17302_21:chr17:17795573_17795593+,17,17795573,17795593,False,ERR973611,
4225,15,1,-12.0,2,15,-21,0.88,0,15,0,0,4225,mapped_nonMirna_ERR973611:miRCluster_17345_26:chr17:22522814_22522839+,17,22522814,22522839,False,ERR973611,
4226,12,0,-19.5,1,28,12,0.8,1,28,0,5,4226,mapped_nonMirna_ERR973611:miRCluster_17348_25:chr17:22524414_22524438+,17,22524414,22524438,False,ERR973611,
4227,9,1,-19.5,2,17,-23,0.69,0,17,0,2,4227,mapped_nonMirna_ERR973611:miRCluster_18118_20:chr17:28547014_28547033-,17,28547014,28547033,False,ERR973611,
4228,6,1,-17.2,1,20,7,0.86,0,20,0,5,4228,mapped_nonMirna_ERR973611:miRCluster_18174_19:chr17:29121548_29121566-,17,29121548,29121566,False,ERR973611,
4229,9,1,-7.2,1,12,-13,0.6,0,12,1,1,4229,mapped_nonMirna_ERR973611:miRCluster_18197_18:chr17:37327961_37327978-,17,37327961,37327978,False,ERR973611,
4230,6,1,-4.5,1,7,-11,0.46,0,7,1,2,4230,mapped_nonMirna_ERR973611:miRCluster_18199_21:chr17:38530530_38530550-,17,38530530,38530550,False,ERR973611,
4231,8,1,-36.5,1,28,12,0.53,0,28,0,7,4231,mapped_nonMirna_ERR973611:miRCluster_18200_22:chr17:38578621_38578642-,17,38578621,38578642,False,ERR973611,
4232,12,1,-63.9,3,37,-1,0.8,0,37,0,5,4232,mapped_nonMirna_ERR973611:miRCluster_17464_18:chr17:39617971_39617988+,17,39617971,39617988,False,ERR973611,
4233,11,1,-23.1,1,25,9,0.85,0,25,0,4,4233,mapped_nonMirna_ERR973611:miRCluster_17472_21:chr17:40171802_40171822+,17,40171802,40171822,False,ERR973611,
4234,9,1,-19.6,1,22,9,0.64,0,22,0,5,4234,mapped_nonMirna_ERR973611:miRCluster_18266_16:chr17:43412981_43412996-,17,43412981,43412996,False,ERR973611,
4235,10,1,-29.7,1,22,4,0.83,0,22,0,5,4235,mapped_nonMirna_ERR973611:miRCluster_17546_25:chr17:48059591_48059615+,17,48059591,48059615,False,ERR973611,
4236,12,1,-22.6,1,28,3,0.92,0,28,0,5,4236,mapped_nonMirna_ERR973611:miRCluster_18342_23:chr17:58489697_58489719-,17,58489697,58489719,False,ERR973611,
4237,3,1,-8.1,1,11,-9,0.2,0,11,1,2,4237,mapped_nonMirna_ERR973611:miRCluster_18348_16:chr17:58526786_58526801-,17,58526786,58526801,False,ERR973611,
4238,13,1,-40.3,3,32,-24,0.72,0,32,0,4,4238,mapped_nonMirna_ERR973611:miRCluster_17674_25:chr17:64146447_64146471+,17,64146447,64146471,False,ERR973611,
4239,10,1,-25.2,1,25,4,0.67,0,25,0,7,4239,mapped_nonMirna_ERR973611:miRCluster_17702_18:chr17:69327020_69327037+,17,69327020,69327037,False,ERR973611,
4240,13,0,-23.5,1,25,-1,0.65,1,25,0,5,4240,mapped_nonMirna_ERR973611:miRCluster_17762_30:chr17:76558834_76558863+,17,76558834,76558863,False,ERR973611,
4241,11,0,-35.0,3,26,-25,0.73,1,26,0,3,4241,mapped_nonMirna_ERR973611:miRCluster_18521_24:chr17:81653247_81653270-,17,81653247,81653270,False,ERR973611,
4242,9,0,-30.6,3,20,-17,0.6,1,20,0,1,4242,mapped_nonMirna_ERR973611:miRCluster_18522_29:chr17:81653278_81653306-,17,81653278,81653306,False,ERR973611,
4243,9,1,-37.8,3,25,-24,0.56,0,25,0,1,4243,mapped_nonMirna_ERR973611:miRCluster_18530_19:chr17:81823004_81823022-,17,81823004,81823022,False,ERR973611,
4244,12,1,-59.9,2,34,13,0.75,0,34,0,6,4244,mapped_nonMirna_ERR973611:miRCluster_18553_17:chr17:83079782_83079798-,17,83079782,83079798,False,ERR973611,
4245,8,1,-1.3,1,19,-3,0.62,0,19,0,4,4245,mapped_nonMirna_ERR973611:miRCluster_18746_16:chr18:242461_242476-,18,242461,242476,False,ERR973611,
4246,11,1,-35.4,1,26,8,0.73,0,26,0,7,4246,mapped_nonMirna_ERR973611:miRCluster_18748_16:chr18:500619_500634-,18,500619,500634,False,ERR973611,
4247,10,1,-14.1,1,18,2,0.71,0,18,0,3,4247,mapped_nonMirna_ERR973611:miRCluster_18586_19:chr18:13017274_13017292+,18,13017274,13017292,False,ERR973611,
4248,4,1,-5.4,1,7,-4,0.44,0,7,0,1,4248,mapped_nonMirna_ERR973611:miRCluster_18602_18:chr18:21773633_21773650+,18,21773633,21773650,False,ERR973611,
4249,8,1,-2.3,1,8,-9,0.5,0,8,1,1,4249,mapped_nonMirna_ERR973611:miRCluster_18863_16:chr18:52670176_52670191-,18,52670176,52670191,False,ERR973611,
4250,7,1,-15.0,1,22,5,0.47,0,22,0,3,4250,mapped_nonMirna_ERR973611:miRCluster_18887_16:chr18:60560227_60560242-,18,60560227,60560242,False,ERR973611,
4251,12,1,-25.4,1,24,15,0.75,0,24,0,4,4251,mapped_nonMirna_ERR973611:miRCluster_18889_17:chr18:63262752_63262768-,18,63262752,63262768,False,ERR973611,
4252,3,1,-18.2,2,11,-8,0.33,0,11,1,1,4252,mapped_nonMirna_ERR973611:miRCluster_18913_19:chr18:79988395_79988413-,18,79988395,79988413,False,ERR973611,
4253,9,1,-34.4,2,23,12,0.53,0,23,0,2,4253,mapped_nonMirna_ERR973611:miRCluster_18924_22:chr19:582308_582329+,19,582308,582329,False,ERR973611,
4254,9,1,-24.2,3,24,-1,0.82,0,24,0,3,4254,mapped_nonMirna_ERR973611:miRCluster_18927_25:chr19:583207_583231+,19,583207,583231,False,ERR973611,
4255,7,1,-21.1,1,17,-4,0.54,0,17,0,3,4255,mapped_nonMirna_ERR973611:miRCluster_18952_19:chr19:1105475_1105493+,19,1105475,1105493,False,ERR973611,
4256,11,1,-17.6,1,11,-7,0.73,0,11,1,1,4256,mapped_nonMirna_ERR973611:miRCluster_18984_16:chr19:1497675_1497690+,19,1497675,1497690,False,ERR973611,
4257,12,1,-27.5,1,21,-1,0.75,0,21,0,4,4257,mapped_nonMirna_ERR973611:miRCluster_19003_16:chr19:2763137_2763152+,19,2763137,2763152,False,ERR973611,
4258,8,1,-18.8,2,17,-4,0.57,0,17,0,1,4258,mapped_nonMirna_ERR973611:miRCluster_19631_20:chr19:3611293_3611312-,19,3611293,3611312,False,ERR973611,
4259,0,0,-3.5,1,6,-30,0.0,1,6,0,1,4259,mapped_nonMirna_ERR973611:miRCluster_19659_16:chr19:3982507_3982522-,19,3982507,3982522,False,ERR973611,
4260,6,0,-3.5,1,6,-6,0.35,1,6,0,1,4260,mapped_nonMirna_ERR973611:miRCluster_19661_23:chr19:3982550_3982572-,19,3982550,3982572,False,ERR973611,
4261,10,1,-21.5,1,22,11,0.71,0,22,0,7,4261,mapped_nonMirna_ERR973611:miRCluster_19669_22:chr19:4094461_4094482-,19,4094461,4094482,False,ERR973611,
4262,13,1,-41.6,2,32,4,0.87,0,32,0,4,4262,mapped_nonMirna_ERR973611:miRCluster_19692_16:chr19:5908956_5908971-,19,5908956,5908971,False,ERR973611,
4263,11,1,-32.6,3,26,-26,0.69,0,26,0,4,4263,mapped_nonMirna_ERR973611:miRCluster_19700_17:chr19:6417790_6417806-,19,6417790,6417806,False,ERR973611,
4264,10,1,-27.3,2,23,-14,0.67,0,23,1,4,4264,mapped_nonMirna_ERR973611:miRCluster_19055_16:chr19:7975074_7975089+,19,7975074,7975089,False,ERR973611,
4265,11,1,-48.7,3,27,-2,0.73,0,27,0,3,4265,mapped_nonMirna_ERR973611:miRCluster_19719_17:chr19:8005326_8005342-,19,8005326,8005342,False,ERR973611,
4266,13,0,-28.7,2,32,-2,0.57,1,32,0,5,4266,mapped_nonMirna_ERR973611:miRCluster_19080_26:chr19:10107658_10107683+,19,10107658,10107683,False,ERR973611,
4267,11,0,-28.7,2,32,-8,0.65,1,32,1,5,4267,mapped_nonMirna_ERR973611:miRCluster_19082_25:chr19:10107700_10107724+,19,10107700,10107724,False,ERR973611,
4268,8,1,-26.6,3,30,-24,0.53,0,30,0,3,4268,mapped_nonMirna_ERR973611:miRCluster_19728_17:chr19:10117142_10117158-,19,10117142,10117158,False,ERR973611,
4269,8,1,-35.2,1,28,17,0.57,0,28,0,7,4269,mapped_nonMirna_ERR973611:miRCluster_19087_16:chr19:10256972_10256987+,19,10256972,10256987,False,ERR973611,
4270,10,1,-38.2,2,28,5,0.77,0,28,0,3,4270,mapped_nonMirna_ERR973611:miRCluster_19738_22:chr19:10559813_10559834-,19,10559813,10559834,False,ERR973611,
4271,6,1,-14.0,1,11,-10,0.46,0,11,1,2,4271,mapped_nonMirna_ERR973611:miRCluster_19101_16:chr19:11481182_11481197+,19,11481182,11481197,False,ERR973611,
4272,8,1,-42.9,1,31,14,0.53,0,31,0,7,4272,mapped_nonMirna_ERR973611:miRCluster_19142_18:chr19:14565094_14565111+,19,14565094,14565111,False,ERR973611,
4273,7,1,-25.2,1,18,4,0.78,0,18,0,4,4273,mapped_nonMirna_ERR973611:miRCluster_19167_18:chr19:17511650_17511667+,19,17511650,17511667,False,ERR973611,
4274,10,1,-30.5,1,23,1,0.83,0,23,0,5,4274,mapped_nonMirna_ERR973611:miRCluster_19215_25:chr19:33813218_33813242+,19,33813218,33813242,False,ERR973611,
4275,8,1,-23.2,1,22,7,0.62,0,22,0,5,4275,mapped_nonMirna_ERR973611:miRCluster_19224_20:chr19:34393949_34393968+,19,34393949,34393968,False,ERR973611,
4276,10,1,-8.4,1,16,-8,0.43,0,16,0,3,4276,mapped_nonMirna_ERR973611:miRCluster_19862_27:chr19:36513172_36513198-,19,36513172,36513198,False,ERR973611,
4277,9,1,-19.0,1,17,-7,0.6,0,17,1,2,4277,mapped_nonMirna_ERR973611:miRCluster_19307_16:chr19:40603241_40603256+,19,40603241,40603256,False,ERR973611,
4278,9,1,-18.0,1,17,1,0.6,0,17,0,5,4278,mapped_nonMirna_ERR973611:miRCluster_19909_26:chr19:41977979_41978004-,19,41977979,41978004,False,ERR973611,
4279,6,1,-13.4,2,13,-1,0.38,0,13,0,1,4279,mapped_nonMirna_ERR973611:miRCluster_19388_24:chr19:47840188_47840211+,19,47840188,47840211,False,ERR973611,
4280,13,1,-43.1,1,29,16,1.0,0,29,0,3,4280,mapped_nonMirna_ERR973611:miRCluster_19984_18:chr19:48630649_48630666-,19,48630649,48630666,False,ERR973611,
4281,10,1,-17.8,2,26,4,0.62,0,26,0,5,4281,mapped_nonMirna_ERR973611:miRCluster_19425_26:chr19:49490022_49490047+,19,49490022,49490047,False,ERR973611,
4282,6,0,-16.6,1,21,21,0.67,1,21,0,5,4282,mapped_nonMirna_ERR973611:miRCluster_19432_27:chr19:49490946_49490972+,19,49490946,49490972,False,ERR973611,
4283,9,1,-8.6,1,12,-14,0.56,0,12,1,2,4283,mapped_nonMirna_ERR973611:miRCluster_19440_25:chr19:49497778_49497802+,19,49497778,49497802,False,ERR973611,
4284,7,1,-15.2,2,23,-27,0.47,0,23,0,5,4284,mapped_nonMirna_ERR973611:miRCluster_19458_18:chr19:49882348_49882365+,19,49882348,49882365,False,ERR973611,
4285,9,1,-26.4,3,21,0,0.64,0,21,0,1,4285,mapped_nonMirna_ERR973611:miRCluster_19461_25:chr19:50310317_50310341+,19,50310317,50310341,False,ERR973611,
4286,10,1,-25.5,1,27,14,0.71,0,27,0,5,4286,mapped_nonMirna_ERR973611:miRCluster_19463_16:chr19:50715724_50715739+,19,50715724,50715739,False,ERR973611,
4287,11,1,-29.4,1,20,-3,0.58,0,20,0,4,4287,mapped_nonMirna_ERR973611:miRCluster_20028_21:chr19:50799509_50799529-,19,50799509,50799529,False,ERR973611,
4288,7,1,-45.3,2,30,9,0.47,0,30,0,3,4288,mapped_nonMirna_ERR973611:miRCluster_19497_16:chr19:54456686_54456701+,19,54456686,54456701,False,ERR973611,
4289,7,1,-20.9,1,14,-6,0.44,0,14,0,3,4289,mapped_nonMirna_ERR973611:miRCluster_19499_21:chr19:54458388_54458408+,19,54458388,54458408,False,ERR973611,
4290,12,1,-49.6,2,35,3,0.92,0,35,0,4,4290,mapped_nonMirna_ERR973611:miRCluster_20056_19:chr19:55258977_55258995-,19,55258977,55258995,False,ERR973611,
4291,12,1,-17.7,1,20,-4,0.75,0,20,0,6,4291,mapped_nonMirna_ERR973611:miRCluster_19517_25:chr19:55388300_55388324+,19,55388300,55388324,False,ERR973611,
4292,11,1,-35.7,1,21,2,0.79,0,21,0,4,4292,mapped_nonMirna_ERR973611:miRCluster_19539_16:chr19:57317625_57317640+,19,57317625,57317640,False,ERR973611,
4293,6,1,-14.2,1,12,-5,0.4,0,12,0,2,4293,mapped_nonMirna_ERR973611:miRCluster_20073_17:chr19:58555881_58555897-,19,58555881,58555897,False,ERR973611,
4294,15,1,-18.7,2,24,-27,0.75,0,24,0,4,4294,mapped_nonMirna_ERR973611:miRCluster_3164_22:chr2:4827134_4827155-,2,4827134,4827155,False,ERR973611,
4295,7,1,-9.3,1,16,8,0.44,0,16,0,4,4295,mapped_nonMirna_ERR973611:miRCluster_2318_16:chr2:17090983_17090998+,2,17090983,17090998,False,ERR973611,
4296,14,1,-21.7,1,21,7,0.88,0,21,0,5,4296,mapped_nonMirna_ERR973611:miRCluster_2396_16:chr2:32686652_32686667+,2,32686652,32686667,False,ERR973611,
4297,13,1,-13.7,2,15,-6,0.59,0,15,0,2,4297,mapped_nonMirna_ERR973611:miRCluster_3288_23:chr2:47690975_47690997-,2,47690975,47690997,False,ERR973611,
4298,8,1,-5.6,1,10,-13,0.5,0,10,1,2,4298,mapped_nonMirna_ERR973611:miRCluster_2479_23:chr2:55544035_55544057+,2,55544035,55544057,False,ERR973611,
4299,11,1,-15.4,1,21,6,0.79,0,21,0,4,4299,mapped_nonMirna_ERR973611:miRCluster_3337_22:chr2:61477979_61478000-,2,61477979,61478000,False,ERR973611,
4300,8,1,-18.9,1,25,12,0.62,0,25,0,7,4300,mapped_nonMirna_ERR973611:miRCluster_2522_16:chr2:67503530_67503545+,2,67503530,67503545,False,ERR973611,
4301,5,1,-15.1,1,16,-10,0.36,0,16,1,3,4301,mapped_nonMirna_ERR973611:miRCluster_2546_20:chr2:71331799_71331818+,2,71331799,71331818,False,ERR973611,
4302,9,1,-15.8,1,15,-3,0.56,0,15,0,3,4302,mapped_nonMirna_ERR973611:miRCluster_2588_30:chr2:74889404_74889433+,2,74889404,74889433,False,ERR973611,
4303,11,1,-4.6,1,11,-9,0.69,0,11,1,2,4303,mapped_nonMirna_ERR973611:miRCluster_2601_19:chr2:80269719_80269737+,2,80269719,80269737,False,ERR973611,
4304,9,1,-37.4,1,24,14,0.69,0,24,0,6,4304,mapped_nonMirna_ERR973611:miRCluster_2628_25:chr2:86720365_86720389+,2,86720365,86720389,False,ERR973611,
4305,12,1,-39.7,1,24,12,0.8,0,24,0,5,4305,mapped_nonMirna_ERR973611:miRCluster_2666_17:chr2:98483410_98483426+,2,98483410,98483426,False,ERR973611,
4306,3,1,-25.6,1,15,-10,0.23,0,15,0,2,4306,mapped_nonMirna_ERR973611:miRCluster_2688_17:chr2:108534480_108534496+,2,108534480,108534496,False,ERR973611,
4307,9,1,-10.8,1,11,-12,0.56,0,11,1,2,4307,mapped_nonMirna_ERR973611:miRCluster_2744_16:chr2:130356384_130356399+,2,130356384,130356399,False,ERR973611,
4308,13,1,-12.6,1,21,-2,0.62,0,21,0,5,4308,mapped_nonMirna_ERR973611:miRCluster_3597_26:chr2:132281090_132281115-,2,132281090,132281115,False,ERR973611,
4309,11,1,-25.7,1,21,-2,0.85,0,21,0,3,4309,mapped_nonMirna_ERR973611:miRCluster_3623_22:chr2:152717407_152717428-,2,152717407,152717428,False,ERR973611,
4310,14,1,-23.3,1,32,24,0.88,0,32,0,6,4310,mapped_nonMirna_ERR973611:miRCluster_3643_20:chr2:161505553_161505572-,2,161505553,161505572,False,ERR973611,
4311,11,1,-34.0,1,22,-2,0.69,0,22,0,3,4311,mapped_nonMirna_ERR973611:miRCluster_2846_20:chr2:177212763_177212782+,2,177212763,177212782,False,ERR973611,
4312,13,1,-22.0,1,23,1,0.81,0,23,0,7,4312,mapped_nonMirna_ERR973611:miRCluster_3697_25:chr2:182866079_182866103-,2,182866079,182866103,False,ERR973611,
4313,11,1,-24.3,1,20,1,0.73,0,20,0,5,4313,mapped_nonMirna_ERR973611:miRCluster_3699_22:chr2:182866319_182866340-,2,182866319,182866340,False,ERR973611,
4314,0,0,-5.7,2,13,-10,0.0,1,13,0,1,4314,mapped_nonMirna_ERR973611:miRCluster_2918_23:chr2:202293053_202293075+,2,202293053,202293075,False,ERR973611,
4315,0,0,-5.7,1,17,-29,0.0,1,17,0,3,4315,mapped_nonMirna_ERR973611:miRCluster_2919_27:chr2:202293107_202293133+,2,202293107,202293133,False,ERR973611,
4316,9,1,-6.1,1,13,-15,0.56,0,13,1,2,4316,mapped_nonMirna_ERR973611:miRCluster_3047_20:chr2:231206204_231206223+,2,231206204,231206223,False,ERR973611,
4317,0,0,-8.9,1,18,-34,0.0,1,18,0,4,4317,mapped_nonMirna_ERR973611:miRCluster_3820_30:chr2:231456444_231456473-,2,231456444,231456473,False,ERR973611,
4318,9,1,-22.3,1,25,10,0.56,0,25,0,5,4318,mapped_nonMirna_ERR973611:miRCluster_3832_16:chr2:232771258_232771273-,2,232771258,232771273,False,ERR973611,
4319,0,0,-12.8,2,12,-15,0.0,1,12,0,1,4319,mapped_nonMirna_ERR973611:miRCluster_3076_30:chr2:233320630_233320659+,2,233320630,233320659,False,ERR973611,
4320,8,1,-13.3,1,19,-4,0.57,0,19,0,4,4320,mapped_nonMirna_ERR973611:miRCluster_3114_19:chr2:233346908_233346926+,2,233346908,233346926,False,ERR973611,
4321,12,1,-24.4,1,27,11,0.75,0,27,0,6,4321,mapped_nonMirna_ERR973611:miRCluster_3129_18:chr2:236251636_236251653+,2,236251636,236251653,False,ERR973611,
4322,10,1,-41.6,1,21,8,0.91,0,21,0,3,4322,mapped_nonMirna_ERR973611:miRCluster_3140_22:chr2:240560616_240560637+,2,240560616,240560637,False,ERR973611,
4323,4,1,-21.6,1,15,-4,0.31,0,15,0,2,4323,mapped_nonMirna_ERR973611:miRCluster_20093_23:chr20:2144301_2144323+,20,2144301,2144323,False,ERR973611,
4324,11,0,-21.6,1,28,19,0.69,1,28,0,9,4324,mapped_nonMirna_ERR973611:miRCluster_20102_24:chr20:2654212_2654235+,20,2654212,2654235,False,ERR973611,
4325,9,0,-16.4,1,23,13,0.53,1,23,0,6,4325,mapped_nonMirna_ERR973611:miRCluster_20108_29:chr20:2656939_2656967+,20,2656939,2656967,False,ERR973611,
4326,9,1,-11.0,1,13,-3,0.56,0,13,0,2,4326,mapped_nonMirna_ERR973611:miRCluster_20133_17:chr20:7462750_7462766+,20,7462750,7462766,False,ERR973611,
4327,6,1,-29.4,1,27,25,0.55,0,27,0,6,4327,mapped_nonMirna_ERR973611:miRCluster_20466_25:chr20:17962898_17962922-,20,17962898,17962922,False,ERR973611,
4328,9,1,-49.0,1,34,27,0.53,0,34,0,6,4328,mapped_nonMirna_ERR973611:miRCluster_20510_23:chr20:30484922_30484944-,20,30484922,30484944,False,ERR973611,
4329,10,1,-18.1,1,22,0,0.62,0,22,0,7,4329,mapped_nonMirna_ERR973611:miRCluster_20521_17:chr20:30514411_30514427-,20,30514411,30514427,False,ERR973611,
4330,9,1,-8.3,1,16,0,0.6,0,16,0,3,4330,mapped_nonMirna_ERR973611:miRCluster_20526_20:chr20:32192813_32192832-,20,32192813,32192832,False,ERR973611,
4331,10,1,-18.0,3,24,-4,0.56,0,24,1,2,4331,mapped_nonMirna_ERR973611:miRCluster_20193_24:chr20:34202322_34202345+,20,34202322,34202345,False,ERR973611,
4332,11,1,-51.9,1,29,9,0.69,0,29,0,8,4332,mapped_nonMirna_ERR973611:miRCluster_20545_19:chr20:34825599_34825617-,20,34825599,34825617,False,ERR973611,
4333,12,1,-34.2,1,26,11,0.75,0,26,0,3,4333,mapped_nonMirna_ERR973611:miRCluster_20569_24:chr20:38425309_38425332-,20,38425309,38425332,False,ERR973611,
4334,4,1,-17.3,3,18,-12,0.25,0,18,1,3,4334,mapped_nonMirna_ERR973611:miRCluster_20278_24:chr20:46045912_46045935+,20,46045912,46045935,False,ERR973611,
4335,9,1,-16.4,1,24,26,0.69,0,24,0,5,4335,mapped_nonMirna_ERR973611:miRCluster_20594_23:chr20:46070222_46070244-,20,46070222,46070244,False,ERR973611,
4336,0,0,-3.8,1,11,-24,0.0,1,11,0,3,4336,mapped_nonMirna_ERR973611:miRCluster_20293_25:chr20:49278997_49279021+,20,49278997,49279021,False,ERR973611,
4337,13,1,-31.7,1,29,21,0.76,0,29,0,4,4337,mapped_nonMirna_ERR973611:miRCluster_20294_26:chr20:49280324_49280349+,20,49280324,49280349,False,ERR973611,
4338,6,1,-6.2,1,8,-10,0.43,0,8,1,1,4338,mapped_nonMirna_ERR973611:miRCluster_20301_16:chr20:50301561_50301576+,20,50301561,50301576,False,ERR973611,
4339,11,1,-7.4,1,10,-13,0.65,0,10,1,2,4339,mapped_nonMirna_ERR973611:miRCluster_20651_17:chr20:53292972_53292988-,20,53292972,53292988,False,ERR973611,
4340,13,1,-15.0,2,15,-23,0.81,0,15,0,1,4340,mapped_nonMirna_ERR973611:miRCluster_20660_16:chr20:61848904_61848919-,20,61848904,61848919,False,ERR973611,
4341,12,1,-34.6,1,24,9,0.71,0,24,0,5,4341,mapped_nonMirna_ERR973611:miRCluster_20669_19:chr20:63361410_63361428-,20,63361410,63361428,False,ERR973611,
